标准时间,经度(Longitude),纬度(Latitude),高度(Altitude_m),SO2(ug/m3),SO2标识,NO2(ug/m3),NO2标识,NO(ug/m3),NO标识,NOx(ug/m3),NOx标识,CO(mg/m3),CO标识,O3(ug/m3),O3标识,工况PM2.5(ug/m3),工况PM2.5标识,工况PM10(ug/m3),工况PM10标识,大气温度(℃),大气温度标识,大气湿度(%),大气湿度标识,风向(°),风向标识,风速(m/s),风速标识,大气压(hPa),大气压标识,Thermal_OC(ug/m^3),Thermal_OC标识,Thermal_EC(ug/m^3),Thermal_EC标识,OptOC(ugC/m^3),OptOC标识,OptEC(ugC/m^3),OptEC标识,TC(ugC/m^3),TC标识,BC_370nm(ng/m3),BC_370nm标识,BC_430nm(ng/m3),BC_430nm标识,蓝色_470nm(ng/m3),蓝色_470nm标识,BC_520nm(ng/m3),BC_520nm标识,黄色_565nm(ng/m3),黄色_565nm标识,黄色_590nm(ng/m3),黄色_590nm标识,红色_660nm(ng/m3),红色_660nm标识,BC_760nm(ng/m3),BC_760nm标识,黑炭_880nm(ng/m3),黑炭_880nm标识,红外_950nm(ng/m3),红外_950nm标识
2026-05-03 08:12:05.000,120.04100399216533,30.411555421200383,3.426199819970535,0.6,,7.2,,0.6,,8.1,,0.291,,98.9,,23.0,,41.6,,21.2,,70.0,,199.0,,1.1,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:05.100,120.04100276486636,30.411556523402886,3.562522259385484,0.8,,7.1,,0.5,,7.8,,0.295,,97.4,,23.0,,41.6,,21.1,,71.0,,192.0,,1.3,,1004.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:05.200,120.04100320308238,30.411554462660085,3.690273723402486,1.3,,8.0,,0.7,,9.0,,0.296,,95.2,,23.0,,41.6,,21.09,,71.0,,75.0,,0.3,,1004.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:05.300,120.04100362220062,30.411555466136917,3.9111132913709366,0.5,,8.1,,0.4,,8.7,,0.287,,95.5,,23.0,,41.6,,21.0,,71.0,,185.0,,0.9,,1004.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:05.400,120.04100362627958,30.41155528666841,4.025885334158822,0.4,,8.2,,0.4,,8.8,,0.289,,94.9,,20.8,,29.2,,21.0,,72.0,,198.0,,0.9,,1004.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:05.500,120.04100283100037,30.41155492415536,4.299341704714291,1.1,,8.6,,0.7,,9.7,,0.288,,93.2,,20.8,,29.2,,21.0,,72.0,,286.0,,0.2,,1004.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:05.600,120.04100343360926,30.411553079908888,4.524790789711727,1.2,,8.6,,0.8,,9.8,,0.281,,94.9,,20.8,,29.2,,21.08,,71.0,,195.0,,0.7,,1004.1,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:05.700,120.04100307281281,30.411552467896897,4.766823494855366,0.9,,9.3,,0.7,,10.3,,0.285,,93.8,,20.8,,29.2,,21.0,,72.0,,211.0,,0.7,,1004.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:05.800,120.0410045745005,30.411553681287366,4.915531334780354,2.1,,9.0,,0.3,,9.6,,0.275,,94.3,,20.8,,29.2,,20.9,,72.0,,224.0,,1.0,,1003.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:05.900,120.04100430707523,30.411554210850134,5.17749798743465,1.4,,8.9,,0.2,,9.3,,0.279,,92.6,,20.8,,29.2,,20.9,,72.0,,197.0,,0.6,,1003.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:06.000,120.04100381241784,30.411554150937373,5.306325872791521,1.7,,8.7,,0.3,,9.2,,0.274,,92.1,,20.8,,29.2,,20.8,,72.0,,209.0,,0.4,,1003.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:06.100,120.04100236972809,30.41155522307483,5.589481550002533,1.3,,7.6,,0.4,,8.2,,0.286,,94.3,,21.4,,34.2,,20.8,,72.0,,235.0,,0.9,,1003.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:06.200,120.04100240494651,30.41155651001423,5.808365952203446,1.3,,8.0,,1.1,,9.6,,0.288,,90.4,,21.4,,34.2,,20.77,,73.0,,228.0,,0.7,,1003.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:06.300,120.04100168176369,30.41155706500242,6.100339655217152,0.9,,10.1,,1.1,,11.8,,0.284,,84.4,,21.4,,34.2,,20.7,,73.0,,226.0,,0.3,,1003.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:06.400,120.04100175807585,30.41155898485667,6.128095514403205,1.0,,13.9,,0.1,,14.0,,0.294,,83.7,,21.4,,34.2,,20.7,,73.0,,248.0,,0.3,,1004.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:06.500,120.04100296121541,30.41155922331335,6.301429107067513,0.8,,12.4,,0.7,,13.4,,0.294,,83.0,,21.4,,34.2,,20.7,,74.0,,296.0,,2.0,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:06.600,120.04100319906377,30.411557101926284,6.478641511182314,1.1,,8.8,,0.6,,9.7,,0.288,,88.9,,21.4,,34.2,,20.63,,74.0,,214.0,,1.4,,1004.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:06.700,120.0410037832531,30.41155891573508,6.635891572653014,1.3,,7.1,,0.4,,7.8,,0.288,,90.5,,26.7,,32.9,,20.9,,74.0,,216.0,,1.1,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:06.800,120.04100282840825,30.411558477483865,6.882800753516926,1.7,,6.7,,0.2,,6.9,,0.285,,91.0,,26.7,,32.9,,20.9,,74.0,,213.0,,1.2,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:06.900,120.04100336869125,30.41155800473793,7.1033269296729316,0.9,,6.9,,0.1,,7.0,,0.295,,89.6,,26.7,,32.9,,20.79,,75.0,,207.0,,1.1,,1004.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:07.000,120.04100360046948,30.411559231870537,7.246105571206693,0.9,,6.9,,0.8,,8.2,,0.291,,85.2,,26.7,,32.9,,20.55,,76.0,,192.0,,0.9,,1004.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:07.100,120.04100326937282,30.41155891000762,7.339908320420592,0.3,,9.8,,0.4,,10.4,,0.294,,81.4,,26.7,,32.9,,20.2,,77.0,,213.0,,0.7,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:07.200,120.0410037569052,30.411559327471757,7.52584669673623,1.0,,9.8,,0.4,,10.4,,0.287,,78.6,,26.7,,32.9,,20.15,,77.0,,181.0,,0.8,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:07.300,120.04100354195931,30.411557837131106,7.684178374952343,1.1,,10.8,,0.5,,11.5,,0.293,,75.6,,26.7,,32.9,,20.04,,78.0,,341.0,,0.1,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:07.400,120.04100318132082,30.411557040473113,7.858304183401319,0.9,,9.7,,0.5,,10.4,,0.29,,76.5,,19.8,,33.7,,20.18,,77.0,,266.0,,0.4,,1004.9,,3.38,,0.91,,3.57,,0.72,,4.29,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:07.500,120.04100380137615,30.411559295651188,8.053133569707182,0.8,,9.5,,0.5,,10.2,,0.303,,75.9,,19.8,,33.7,,20.07,,78.0,,208.0,,0.5,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:07.600,120.04100422519946,30.411559319919775,8.115101216904552,1.2,,11.8,,0.1,,11.9,,0.305,,72.2,,19.8,,33.7,,19.9,,79.0,,222.0,,0.5,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:07.700,120.04100427155217,30.41155949408968,8.453817113496246,1.4,,12.0,,-0.1,,11.8,,0.304,,73.2,,19.8,,33.7,,19.89,,79.0,,213.0,,0.5,,1004.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:07.800,120.04100409620442,30.411559939282768,8.634226459737555,1.5,,13.3,,0.8,,14.5,,0.308,,68.0,,19.8,,33.7,,19.75,,80.0,,211.0,,0.7,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:07.900,120.04100263132108,30.411561337170365,8.864138345698613,0.7,,15.5,,0.9,,16.8,,0.302,,66.6,,19.8,,33.7,,19.8,,80.0,,223.0,,0.5,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:08.000,120.04100374532166,30.4115603998811,9.135038071166484,1.4,,15.1,,0.8,,16.3,,0.299,,67.4,,19.8,,33.7,,19.88,,79.0,,232.0,,0.4,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:08.100,120.04100196690722,30.411561159416973,9.45565068637928,0.7,,15.9,,0.4,,16.6,,0.303,,63.9,,26.5,,35.1,,19.89,,80.0,,260.0,,0.2,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:08.200,120.04100072729169,30.411560605260075,9.643999029857337,1.0,,18.9,,0.7,,20.0,,0.308,,63.6,,26.5,,35.1,,19.84,,80.0,,208.0,,0.4,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:08.300,120.04100012628949,30.411558929155344,9.83042376524351,0.8,,20.4,,1.1,,22.1,,0.314,,60.8,,26.5,,35.1,,19.8,,80.0,,225.0,,0.4,,1005.2,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:08.400,120.04099878588879,30.411559549704265,9.954477777214509,1.6,,19.7,,0.8,,20.9,,0.325,,62.1,,26.5,,35.1,,20.11,,79.0,,244.0,,0.3,,1005.2,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:08.500,120.04100088419135,30.41155873859926,10.116499443248317,1.0,,20.7,,1.1,,22.5,,0.325,,61.0,,26.5,,35.1,,20.27,,78.0,,210.0,,0.3,,1005.3,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:08.600,120.04100200914134,30.411557415316516,10.313534504109382,1.3,,21.4,,1.7,,24.1,,0.327,,61.2,,26.5,,35.1,,20.4,,78.0,,246.0,,0.2,,1005.3,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:08.700,120.04100378141669,30.411555660480314,10.508190425089468,1.1,,22.1,,1.2,,23.9,,0.35,,61.0,,26.5,,35.1,,20.79,,77.0,,203.0,,0.7,,1005.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:08.800,120.04100417081729,30.41155661692457,10.613336880404042,0.9,,20.9,,1.9,,23.9,,0.346,,60.3,,27.9,,39.1,,20.94,,77.0,,198.0,,0.4,,1005.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:08.900,120.04100247499372,30.41155727438015,10.81596647062418,0.8,,21.4,,2.0,,24.5,,0.352,,58.7,,27.9,,39.1,,21.22,,77.0,,209.0,,0.5,,1005.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:09.000,120.04100284599258,30.411557728696376,10.957341182693597,1.3,,19.9,,1.9,,22.9,,0.357,,71.6,,27.9,,39.1,,21.5,,75.0,,215.0,,0.6,,1005.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:09.100,120.04100318997286,30.411558118595398,11.097148442232672,1.7,,12.1,,1.3,,14.1,,0.325,,77.1,,27.9,,39.1,,21.52,,74.0,,196.0,,0.8,,1005.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:09.200,120.04100568325511,30.41155871008547,11.207459844969227,1.4,,11.5,,1.2,,13.4,,0.326,,75.2,,27.9,,39.1,,21.8,,74.0,,230.0,,0.6,,1005.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:09.300,120.0410065803614,30.411557651812217,11.443629057648609,1.0,,8.8,,1.5,,11.1,,0.319,,81.3,,27.9,,39.1,,22.25,,73.0,,203.0,,1.2,,1005.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:09.400,120.04100813601231,30.41155676465182,11.691744332009083,1.4,,8.9,,1.5,,11.1,,0.331,,77.8,,17.4,,33.8,,22.47,,72.0,,204.0,,0.9,,1005.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:09.500,120.04100870609604,30.411557740205804,11.999751747051711,0.8,,10.0,,1.6,,12.4,,0.34,,76.1,,17.4,,33.8,,22.62,,72.0,,193.0,,1.2,,1005.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:09.600,120.04100840611254,30.411556921269057,12.132454871787228,1.7,,9.9,,0.8,,11.1,,0.341,,81.2,,17.4,,33.8,,22.55,,71.0,,200.0,,1.5,,1005.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:09.700,120.04100735169571,30.411556867211562,12.343967244257785,1.6,,9.9,,1.0,,11.4,,0.352,,79.5,,17.4,,33.8,,22.88,,71.0,,193.0,,1.5,,1005.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:09.800,120.0410077338775,30.411557836679723,12.535756581583632,1.3,,9.6,,0.9,,11.1,,0.355,,79.6,,17.4,,33.8,,23.13,,70.0,,193.0,,1.2,,1005.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:09.900,120.0410096638069,30.411557561481267,12.899847164421178,1.0,,9.4,,1.0,,10.9,,0.354,,87.1,,17.4,,33.8,,23.56,,67.0,,225.0,,1.4,,1005.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:10.000,120.04101050017087,30.41155660898089,13.025306799705298,0.8,,7.8,,0.5,,8.6,,0.354,,89.0,,19.8,,34.6,,24.13,,66.0,,210.0,,1.1,,1005.5,,,D,,D,3.73,,0.79,,4.53,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:10.100,120.04101114509274,30.41155637245947,13.264839563361312,1.0,,7.6,,0.6,,8.6,,0.357,,93.3,,19.8,,34.6,,24.58,,63.0,,232.0,,1.6,,1005.3,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:10.200,120.04101177509779,30.41155630299897,13.406893119930551,1.2,,7.5,,0.8,,8.7,,0.361,,95.6,,19.8,,34.6,,24.67,,63.0,,216.0,,1.7,,1005.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:10.300,120.04100978294656,30.41155580480081,13.657945300936428,1.5,,6.9,,1.0,,8.4,,0.351,,100.3,,19.8,,34.6,,24.96,,61.0,,240.0,,1.5,,1005.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:10.400,120.04101006608786,30.411554394312294,13.867109053010251,1.3,,6.4,,0.8,,7.6,,0.356,,102.1,,19.8,,34.6,,25.44,,60.0,,242.0,,1.3,,1005.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:10.500,120.041010572153,30.411553390858735,14.076404698181651,1.4,,6.7,,0.5,,7.6,,0.341,,102.5,,19.8,,34.6,,26.63,,57.0,,234.0,,0.5,,1005.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:10.600,120.0410106445825,30.411552088796284,14.300006548382383,1.8,,7.2,,0.7,,8.4,,0.34,,107.4,,19.8,,34.6,,26.98,,54.0,,326.0,,0.8,,1005.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:10.700,120.04101137656606,30.41155331192596,14.569063593894889,1.3,,6.2,,0.7,,7.2,,0.341,,112.5,,54.8,,75.9,,26.95,,53.0,,306.0,,0.9,,1005.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:10.800,120.04100955191461,30.411552234551408,14.805513921127385,1.1,,6.0,,0.5,,6.7,,0.341,,113.1,,54.8,,75.9,,27.35,,52.0,,312.0,,0.7,,1005.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:10.900,120.04101021681038,30.411552803823184,15.254556382702422,0.9,,6.5,,0.5,,7.2,,0.343,,112.0,,54.8,,75.9,,27.94,,51.0,,324.0,,0.6,,1005.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:11.000,120.04101095440419,30.411554073937555,15.52179180364319,1.6,,6.1,,0.6,,6.9,,0.313,,117.6,,54.8,,75.9,,27.04,,49.0,,296.0,,3.2,,1005.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:11.100,120.04101179554998,30.41155369123885,15.778241223778755,1.8,,4.5,,0.7,,5.6,,0.282,,120.6,,54.8,,75.9,,27.35,,46.0,,306.0,,4.4,,1005.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:11.200,120.0410107577131,30.411553393419695,15.957562423953595,1.7,,4.2,,0.4,,4.9,,0.291,,121.9,,54.8,,75.9,,27.62,,45.0,,297.0,,3.2,,1005.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:11.300,120.04101084354244,30.411555990531717,16.051073238427392,1.8,,4.7,,0.3,,5.2,,0.283,,121.5,,54.8,,75.9,,27.77,,45.0,,289.0,,3.7,,1005.3,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:11.400,120.04101172326305,30.41155412075438,16.234436949409254,1.8,,5.0,,0.8,,6.2,,0.288,,120.8,,29.1,,80.4,,28.1,,45.0,,297.0,,3.1,,1005.3,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:11.500,120.04101313115727,30.411554152237276,16.381102513098984,2.1,,6.6,,0.5,,7.4,,0.287,,119.3,,29.1,,80.4,,27.64,,45.0,,266.0,,3.4,,1005.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:11.600,120.04101215946142,30.4115548786089,16.55136459523067,1.9,,6.9,,0.5,,7.6,,0.304,,119.4,,29.1,,80.4,,27.45,,46.0,,282.0,,3.1,,1005.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:11.700,120.041012413086,30.411554880257988,16.728241253326516,1.7,,6.6,,0.8,,7.8,,0.299,,119.4,,29.1,,80.4,,27.27,,47.0,,284.0,,1.9,,1005.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:11.800,120.04101520399182,30.411555546146264,16.819883973592482,1.5,,6.0,,0.9,,7.4,,0.304,,120.4,,29.1,,80.4,,27.42,,46.0,,290.0,,2.1,,1005.3,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:11.900,120.04101541350163,30.411554735455834,17.095157587159285,1.4,,5.0,,0.0,,5.1,,0.291,,123.8,,29.1,,80.4,,27.66,,45.0,,295.0,,2.5,,1005.2,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:12.000,120.04101433090361,30.411554542081802,17.350091270702713,0.7,,4.8,,0.9,,6.1,,0.309,,123.9,,32.9,,86.6,,27.94,,43.0,,278.0,,2.0,,1005.1,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:12.100,120.04101543097948,30.41155311091942,17.55355996694032,1.4,,6.0,,1.1,,7.6,,0.275,,124.1,,32.9,,86.6,,28.59,,38.0,,311.0,,2.2,,1005.1,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:12.200,120.04101476241422,30.411552296987637,17.891461846981358,1.6,,5.6,,0.9,,7.0,,0.266,,123.7,,32.9,,86.6,,28.97,,38.0,,286.0,,1.9,,1005.1,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:12.300,120.04101525106158,30.411550788428354,18.177366010846217,1.9,,4.8,,0.8,,6.0,,0.258,,125.7,,32.9,,86.6,,29.14,,36.0,,290.0,,2.2,,1005.1,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
2026-05-03 08:12:12.400,120.04101800008223,30.411551881499374,18.310720204993068,1.7,,4.0,,0.1,,4.1,,0.253,,127.0,,32.9,,86.6,,28.8,,32.0,,313.0,,4.9,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D
