采集时间,经度(Longitude),纬度(Latitude),高度(Altitude_m),SO2(ug/m3),SO2标识,NO2(ug/m3),NO2标识,NO(ug/m3),NO标识,NOx(ug/m3),NOx标识,CO(mg/m3),CO标识,O3(ug/m3),O3标识,工况PM2.5(ug/m3),工况PM2.5标识,工况PM10(ug/m3),工况PM10标识,大气温度(℃),大气温度标识,大气湿度(%),大气湿度标识,风向(°),风向标识,风速(m/s),风速标识,大气压(hPa),大气压标识,Thermal_OC(ug/m^3),Thermal_OC标识,Thermal_EC(ug/m^3),Thermal_EC标识,OptOC(ugC/m^3),OptOC标识,OptEC(ugC/m^3),OptEC标识,TC(ugC/m^3),TC标识,BC_370nm(ng/m3),BC_370nm标识,BC_430nm(ng/m3),BC_430nm标识,蓝色_470nm(ng/m3),蓝色_470nm标识,BC_520nm(ng/m3),BC_520nm标识,黄色_565nm(ng/m3),黄色_565nm标识,黄色_590nm(ng/m3),黄色_590nm标识,红色_660nm(ng/m3),红色_660nm标识,BC_760nm(ng/m3),BC_760nm标识,黑炭_880nm(ng/m3),黑炭_880nm标识,红外_950nm(ng/m3),红外_950nm标识,标准时间
2025-05-01 00:50:00,119.98701184063619,30.276000885006482,50.0,1.3,,8.4,,0.4,,9.0,,0.26,,101.2,,26.1,,38.3,,21.53,,68.0,,188.0,,2.2,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:50:00
2025-05-01 00:55:00,119.98701301707462,30.276001070649173,55.0,0.9,,8.0,,0.3,,8.4,,0.153,PZ,99.8,,26.1,,38.3,,21.43,,69.0,,188.0,,2.1,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 00:55:00
2025-05-01 01:00:00,119.98701419133627,30.27600127388904,60.0,1.2,,8.0,,0.4,,8.6,,-0.027,PZ,99.0,,23.0,,41.6,,21.37,,69.0,,187.0,,2.2,,1004.8,,3.43,,1.28,,3.56,,1.15,,4.71,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:00:00
2025-05-01 01:05:00,119.98701536322413,30.276001494703458,65.0,1.2,,8.2,,0.4,,8.8,,-0.05,PZ,99.0,,23.0,,41.6,,21.3,,69.0,,189.0,,2.3,,1004.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:05:00
2025-05-01 01:10:00,119.98701653254135,30.27600173306782,70.0,1.3,,8.2,,0.1,,8.3,,-0.043,PZ,100.3,,23.0,,41.6,,21.3,,69.0,,191.0,,2.2,,1004.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:10:00
2025-05-01 01:15:00,119.98701769909135,30.276001988955567,75.0,1.3,,7.6,,0.2,,7.8,,0.137,,100.0,,23.0,,41.6,,21.3,,70.0,,191.0,,1.6,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:15:00
2025-05-01 01:20:00,119.98701886267781,30.276002262338196,80.0,0.7,,7.4,,0.5,,8.1,,0.269,,100.6,,23.0,,41.6,,21.3,,70.0,,198.0,,1.3,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:20:00
2025-05-01 01:25:00,119.98702002310469,30.276002553185236,85.0,0.6,,7.2,,0.6,,8.1,,0.291,,98.9,,23.0,,41.6,,21.2,,70.0,,199.0,,1.1,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:25:00
2025-05-01 01:30:00,119.9870211801762,30.276002861464274,90.0,1.1,,7.1,,0.4,,7.7,,0.29,,98.7,,23.0,,41.6,,21.18,,70.0,,195.0,,1.1,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:30:00
2025-05-01 01:35:00,119.98702233369691,30.276003187140937,95.0,0.8,,7.1,,0.5,,7.8,,0.295,,97.4,,23.0,,41.6,,21.1,,71.0,,192.0,,1.3,,1004.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:35:00
2025-05-01 01:40:00,119.98702348347172,30.276003530178922,100.0,0.9,,7.7,,0.6,,8.6,,0.293,,97.3,,23.0,,41.6,,21.1,,71.0,,187.0,,0.7,,1004.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:40:00
2025-05-01 01:45:00,119.98702462930582,30.27600389053997,105.0,1.3,,8.0,,0.7,,9.0,,0.296,,95.2,,23.0,,41.6,,21.09,,71.0,,75.0,,0.3,,1004.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:45:00
2025-05-01 01:50:00,119.98702577100485,30.276004268183897,110.0,0.7,,8.3,,0.5,,9.1,,0.287,,95.8,,23.0,,41.6,,21.0,,71.0,,189.0,,1.0,,1004.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:50:00
2025-05-01 01:55:00,119.98702690837476,30.276004663068562,115.0,0.5,,8.1,,0.4,,8.7,,0.287,,95.5,,23.0,,41.6,,21.0,,71.0,,185.0,,0.9,,1004.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 01:55:00
2025-05-01 02:00:00,119.98702804122193,30.276005075149914,120.0,0.4,,8.2,,0.4,,8.8,,0.289,,94.9,,20.8,,29.2,,21.0,,72.0,,198.0,,0.9,,1004.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:00:00
2025-05-01 02:05:00,119.98702916935319,30.276005504381963,125.0,1.3,,8.3,,0.5,,9.1,,0.285,,94.1,,20.8,,29.2,,21.0,,72.0,,210.0,,0.5,,1004.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:05:00
2025-05-01 02:10:00,119.98703029257575,30.27600595071679,130.0,1.1,,8.6,,0.7,,9.7,,0.288,,93.2,,20.8,,29.2,,21.0,,72.0,,286.0,,0.2,,1004.4,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:10:00
2025-05-01 02:15:00,119.98703141069733,30.27600641410456,135.0,0.6,,8.8,,0.9,,10.1,,0.289,,94.3,,20.8,,29.2,,21.0,,71.0,,227.0,,0.5,,1004.3,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:15:00
2025-05-01 02:20:00,119.98703252352608,30.276006894493527,140.0,1.2,,8.6,,0.8,,9.8,,0.281,,94.9,,20.8,,29.2,,21.08,,71.0,,195.0,,0.7,,1004.1,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:20:00
2025-05-01 02:25:00,119.98703363087068,30.27600739183002,145.0,1.5,,9.0,,0.8,,10.2,,0.286,,93.9,,20.8,,29.2,,21.01,,71.0,,192.0,,0.8,,1003.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:25:00
2025-05-01 02:30:00,119.9870347325403,30.27600790605847,148.60292250900537,0.9,,9.3,,0.7,,10.3,,0.285,,93.8,,20.8,,29.2,,21.0,,72.0,,211.0,,0.7,,1004.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:30:00
2025-05-01 02:35:00,119.98703582834463,30.2760084371214,149.58455298591252,1.8,,9.5,,0.5,,10.3,,0.283,,92.4,,20.8,,29.2,,20.96,,72.0,,219.0,,0.8,,1003.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:35:00
2025-05-01 02:40:00,119.98703691809392,30.27600898495944,150.58274602425246,2.1,,9.0,,0.3,,9.6,,0.275,,94.3,,20.8,,29.2,,20.9,,72.0,,224.0,,1.0,,1003.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:40:00
2025-05-01 02:45:00,119.98703800159898,30.27600954951132,151.5577068175669,1.4,,8.9,,0.2,,9.3,,0.279,,92.6,,20.8,,29.2,,20.9,,72.0,,197.0,,0.6,,1003.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:45:00
2025-05-01 02:50:00,119.98703907867117,30.276010130713882,152.47056675569303,1.5,,8.8,,0.2,,9.1,,0.282,,92.1,,20.8,,29.2,,20.81,,72.0,,192.0,,0.7,,1003.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:50:00
2025-05-01 02:55:00,119.98704014912254,30.276010728502087,153.28493299359394,1.7,,8.7,,0.3,,9.2,,0.274,,92.1,,20.8,,29.2,,20.8,,72.0,,209.0,,0.4,,1003.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 02:55:00
2025-05-01 03:00:00,119.98704121276563,30.276011342809024,153.96833931924576,1.7,,8.3,,0.3,,8.8,,0.279,,92.2,,21.4,,34.2,,20.8,,72.0,,221.0,,0.6,,1003.8,,3.17,,1.0,,3.07,,1.1,,4.16,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:00:00
2025-05-01 03:05:00,119.9870422694137,30.276011973565904,154.49354047905814,1.3,,7.6,,0.4,,8.2,,0.286,,94.3,,21.4,,34.2,,20.8,,72.0,,235.0,,0.9,,1003.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:05:00
2025-05-01 03:10:00,119.98704331888065,30.276012620702065,154.83959836015742,1.3,,7.4,,0.6,,8.4,,0.289,,93.3,,21.4,,34.2,,20.8,,72.0,,235.0,,1.0,,1003.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:10:00
2025-05-01 03:15:00,119.98704436098103,30.276013284145,154.99271672687303,1.3,,8.0,,1.1,,9.6,,0.288,,90.4,,21.4,,34.2,,20.77,,73.0,,228.0,,0.7,,1003.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:15:00
2025-05-01 03:20:00,119.98704539553007,30.276013963820336,154.9467912331169,0.9,,10.1,,1.1,,11.8,,0.284,,84.4,,21.4,,34.2,,20.7,,73.0,,226.0,,0.3,,1003.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:20:00
2025-05-01 03:25:00,119.98704642234372,30.276014659651857,154.70365278339887,1.0,,12.9,,0.7,,13.9,,0.287,,82.2,,21.4,,34.2,,20.7,,73.0,,241.0,,0.5,,1003.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:25:00
2025-05-01 03:30:00,119.98704744123866,30.276015371561503,154.2729945404414,1.0,,13.9,,0.1,,14.0,,0.294,,83.7,,21.4,,34.2,,20.7,,73.0,,248.0,,0.3,,1004.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:30:00
2025-05-01 03:35:00,119.98704845203225,30.276016099469377,153.67198548937057,0.2,,13.1,,0.2,,13.5,,0.302,,81.0,,21.4,,34.2,,20.7,,73.0,,268.0,,0.8,,1004.2,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:35:00
2025-05-01 03:40:00,119.98704945454271,30.27601684329376,152.9245859644588,0.8,,12.4,,0.7,,13.4,,0.294,,83.0,,21.4,,34.2,,20.7,,74.0,,296.0,,2.0,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:40:00
2025-05-01 03:45:00,119.98705044858892,30.276017602951107,152.06059242620879,0.8,,10.6,,0.8,,11.8,,0.284,,84.7,,21.4,,34.2,,20.6,,74.0,,272.0,,1.9,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:45:00
2025-05-01 03:50:00,119.98705143399062,30.276018378356056,151.11444957050125,1.1,,8.8,,0.6,,9.7,,0.288,,88.9,,21.4,,34.2,,20.63,,74.0,,214.0,,1.4,,1004.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:50:00
2025-05-01 03:55:00,119.98705241056832,30.276019169421446,150.12387712726678,1.1,,7.4,,0.5,,8.2,,0.285,,92.9,,21.4,,34.2,,20.87,,74.0,,230.0,,1.4,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 03:55:00
2025-05-01 04:00:00,119.9870533781434,30.276019976058304,149.1283660938851,1.3,,7.1,,0.4,,7.8,,0.288,,90.5,,26.7,,32.9,,20.9,,74.0,,216.0,,1.1,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:00:00
2025-05-01 04:05:00,119.98705433653801,30.276020798175878,148.16760435374036,1.7,,6.7,,0.2,,6.9,,0.285,,91.0,,26.7,,32.9,,20.9,,74.0,,213.0,,1.2,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:05:00
2025-05-01 04:10:00,119.98705528557521,30.276021635681616,147.27989444555314,1.4,,6.6,,0.0,,6.6,,0.288,,90.4,,26.7,,32.9,,20.85,,74.0,,207.0,,1.1,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:10:00
2025-05-01 04:15:00,119.98705622507892,30.2760224884812,146.5006265620323,0.9,,6.9,,0.1,,7.0,,0.295,,89.6,,26.7,,32.9,,20.79,,75.0,,207.0,,1.1,,1004.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:15:00
2025-05-01 04:20:00,119.98705715487394,30.276023356478536,145.86086765457173,0.3,,6.9,,0.4,,7.6,,0.293,,87.2,,26.7,,32.9,,20.67,,75.0,,195.0,,1.0,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:20:00
2025-05-01 04:25:00,119.98705807478599,30.276024239575772,145.38612289193597,0.9,,6.9,,0.8,,8.2,,0.291,,85.2,,26.7,,32.9,,20.55,,76.0,,192.0,,0.9,,1004.6,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:25:00
2025-05-01 04:30:00,119.9870589846417,30.276025137673304,145.09531884966754,0.8,,8.7,,0.7,,9.8,,0.291,,78.0,,26.7,,32.9,,20.31,,77.0,,194.0,,1.1,,1004.5,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:30:00
2025-05-01 04:35:00,119.98705988426867,30.27602605066978,145.00004896724647,0.3,,9.8,,0.4,,10.4,,0.294,,81.4,,26.7,,32.9,,20.2,,77.0,,213.0,,0.7,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:35:00
2025-05-01 04:40:00,119.9870607734954,30.276026978462113,145.1041113542434,1.0,,9.8,,0.4,,10.4,,0.287,,78.6,,26.7,,32.9,,20.15,,77.0,,181.0,,0.8,,1004.7,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:40:00
2025-05-01 04:45:00,119.98706165215141,30.276027920945488,145.40335737167663,1.2,,10.0,,0.5,,10.7,,0.282,,75.8,,26.7,,32.9,,20.02,,78.0,,288.0,,0.1,,1004.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:45:00
2025-05-01 04:50:00,119.98706252006718,30.276028878013367,145.88585702515647,1.1,,10.8,,0.5,,11.5,,0.293,,75.6,,26.7,,32.9,,20.04,,78.0,,341.0,,0.1,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:50:00
2025-05-01 04:55:00,119.98706337707424,30.276029849557514,146.5323745761144,0.4,,10.5,,0.5,,11.2,,0.29,,75.9,,26.7,,32.9,,20.1,,78.0,,299.0,,0.1,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 04:55:00
2025-05-01 05:00:00,119.98706422300506,30.276030835467978,147.31713540999783,0.9,,9.7,,0.5,,10.4,,0.29,,76.5,,19.8,,33.7,,20.18,,77.0,,266.0,,0.4,,1004.9,,3.38,,0.91,,3.57,,0.72,,4.29,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:00:00
2025-05-01 05:05:00,119.98706505769324,30.276031835633123,148.20885358881586,0.6,,9.2,,0.5,,9.9,,0.292,,77.6,,19.8,,33.7,,20.18,,78.0,,214.0,,0.6,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:05:00
2025-05-01 05:10:00,119.98706588097338,30.276032849939632,149.17197912275844,0.8,,9.5,,0.5,,10.2,,0.303,,75.9,,19.8,,33.7,,20.07,,78.0,,208.0,,0.5,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:10:00
2025-05-01 05:15:00,119.98706669268113,30.276033878272514,150.16811523610568,0.7,,10.6,,0.3,,11.1,,0.309,,72.0,,19.8,,33.7,,19.98,,79.0,,220.0,,0.3,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:15:00
2025-05-01 05:20:00,119.98706749265325,30.276034920515112,151.1575491255077,1.2,,11.8,,0.1,,11.9,,0.305,,72.2,,19.8,,33.7,,19.9,,79.0,,222.0,,0.5,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:20:00
2025-05-01 05:25:00,119.98706828072763,30.276035976549117,152.10083518413322,1.4,,12.0,,-0.1,,11.8,,0.304,,73.2,,19.8,,33.7,,19.89,,79.0,,213.0,,0.5,,1004.8,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:25:00
2025-05-01 05:30:00,119.98706905674322,30.276037046254583,152.9603675735361,1.3,,11.8,,0.2,,12.2,,0.308,,68.7,,19.8,,33.7,,19.78,,80.0,,232.0,,0.6,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:30:00
2025-05-01 05:35:00,119.98706982054014,30.27603812950992,153.70187944976223,1.5,,13.3,,0.8,,14.5,,0.308,,68.0,,19.8,,33.7,,19.75,,80.0,,211.0,,0.7,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:35:00
2025-05-01 05:40:00,119.98707057195963,30.276039226191926,154.2958090742825,0.8,,15.3,,0.9,,16.7,,0.304,,65.6,,19.8,,33.7,,19.71,,80.0,,269.0,,0.5,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:40:00
2025-05-01 05:45:00,119.98707131084413,30.276040336175775,154.71847834722053,0.7,,15.5,,0.9,,16.8,,0.302,,66.6,,19.8,,33.7,,19.8,,80.0,,223.0,,0.5,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:45:00
2025-05-01 05:50:00,119.9870720370372,30.276041459335048,154.95303677847434,1.3,,15.2,,1.0,,16.7,,0.3,,67.3,,19.8,,33.7,,19.8,,80.0,,276.0,,0.5,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:50:00
2025-05-01 05:55:00,119.98707275038362,30.276042595541725,154.9901332635818,1.4,,15.1,,0.8,,16.3,,0.299,,67.4,,19.8,,33.7,,19.88,,79.0,,232.0,,0.4,,1004.9,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 05:55:00
2025-05-01 06:00:00,119.9870734507294,30.276043744666218,154.8282888827464,0.7,,15.9,,0.4,,16.6,,0.303,,63.9,,26.5,,35.1,,19.89,,80.0,,260.0,,0.2,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 06:00:00
2025-05-01 06:05:00,119.98707413792172,30.276044906577358,154.47395586070252,1.0,,17.5,,0.4,,18.2,,0.305,,63.2,,26.5,,35.1,,19.87,,80.0,,236.0,,0.2,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 06:05:00
2025-05-01 06:10:00,119.98707481180908,30.27604608114242,153.94126033687658,1.0,,18.9,,0.7,,20.0,,0.308,,63.6,,26.5,,35.1,,19.84,,80.0,,208.0,,0.4,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 06:10:00
2025-05-01 06:15:00,119.98707547224113,30.27604726822714,153.2514392007856,0.9,,19.7,,1.0,,21.3,,0.314,,62.0,,26.5,,35.1,,19.81,,80.0,,197.0,,0.6,,1005.0,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 06:15:00
2025-05-01 06:20:00,119.98707611906886,30.2760484676957,152.431993444269,0.8,,20.4,,1.1,,22.1,,0.314,,60.8,,26.5,,35.1,,19.8,,80.0,,225.0,,0.4,,1005.2,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 06:20:00
2025-05-01 06:25:00,119.98707675214449,30.27604967941077,151.51559178372852,1.1,,20.6,,1.0,,22.1,,0.318,,61.0,,26.5,,35.1,,19.91,,80.0,,238.0,,0.4,,1005.3,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 06:25:00
2025-05-01 06:30:00,119.98707737132159,30.276050903233507,150.5387682614972,1.6,,19.7,,0.8,,20.9,,0.325,,62.1,,26.5,,35.1,,20.11,,79.0,,244.0,,0.3,,1005.2,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 06:30:00
2025-05-01 06:35:00,119.987077976455,30.276052139023562,149.54046574886158,1.5,,19.9,,0.8,,21.1,,0.324,,61.0,,26.5,,35.1,,20.21,,79.0,,198.0,,0.5,,1005.2,,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,2025-05-01 06:35:00
